Dates,12MTH_IMPVOL_100.0%MNY_DF.19,PX_LAST.19
10/18/2000,,1.4375
10/19/2000,,1.3527
10/20/2000,,1.3929
10/23/2000,,1.4554
10/24/2000,,1.3482
10/25/2000,,1.3214
10/26/2000,,1.3214
10/27/2000,,1.3259
10/30/2000,,1.3795
10/31/2000,,1.3973
11/1/2000,,1.4643
11/2/2000,,1.5938
11/3/2000,,1.5893
11/6/2000,,1.5313
11/7/2000,,1.5223
11/8/2000,,1.433
11/9/2000,,1.442
11/10/2000,,1.3616
11/13/2000,,1.3839
11/14/2000,,1.4464
11/15/2000,,1.4196
11/16/2000,,1.3571
11/17/2000,,1.3214
11/20/2000,,1.3527
11/21/2000,,1.3438
11/22/2000,,1.3214
11/23/2000,,1.3214
11/24/2000,,1.3795
11/27/2000,,1.3348
11/28/2000,,1.2879
11/29/2000,,1.2545
11/30/2000,,1.1786
12/1/2000,,1.2188
12/4/2000,,1.192
